,q1a,q1b,q1c,q2b,q3b,q4a,q4b,q4c,q4d,q5a,q5b,q5c,q6a,q6b,q6c,q7a,q7b,q7c,q7d,q7e,q7f,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f
0,1,7,7,1,1,1,1,0,1,6,3,4,1,1,1,8,8,8,8,8,1,1,1,1,1,1,1,1,2,4,5,1,1,1,1,1,1,1,1
1,1,1,2,3,3,1,4,1,5,6,2,6,3,5,4,2,2,2,2,2,1,2,3,6,6,2,4,2,3,6,6,1,2,2,3,6,6,1,2
2,3,1,2,1,2,1,2,1,4,6,3,5,4,5,5,1,1,1,1,1,1,3,5,6,6,2,2,1,2,3,3,1,2,1,2,2,3,1,1
3,1,2,1,2,2,1,2,1,6,6,5,6,1,5,4,1,2,2,2,1,8,2,3,2,4,1,2,4,4,6,6,5,5,1,1,1,2,2,1
4,1,1,6,1,1,1,1,1,2,6,4,6,2,6,4,1,1,1,1,1,3,2,3,3,3,1,4,3,3,5,5,5,4,2,3,3,4,2,4
5,2,1,2,-1,1,1,3,1,6,5,5,5,-1,-1,-1,1,-1,2,2,2,2,2,3,3,2,2,2,3,4,5,6,3,4,2,2,3,2,1,2
6,3,4,5,2,3,1,2,1,4,5,5,4,5,6,4,1,1,1,1,1,1,3,4,6,6,6,3,4,4,6,6,6,2,3,4,3,6,1,2
7,1,4,6,3,-1,1,6,1,6,1,1,1,6,6,6,2,2,2,1,1,1,2,3,5,5,1,1,2,2,5,5,1,1,2,2,5,5,1,1
8,1,3,2,2,2,1,2,1,3,6,6,6,6,6,5,1,1,1,1,1,1,4,4,6,6,3,1,4,6,6,6,6,2,4,5,6,6,4,2
9,2,2,-1,2,1,1,3,1,6,-1,-1,-1,3,5,6,-1,-1,-1,-1,-1,-1,4,6,5,6,2,2,-1,4,4,1,1,1,1,2,1,1,1,1
10,6,1,3,2,-1,1,2,1,3,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,4,4,3,6,4,2,4,3,-1,-1,-1,-1,2,4,2,2,-1,2
11,5,6,6,4,3,1,4,1,4,6,6,5,6,6,6,2,2,2,1,2,1,2,2,5,6,2,2,2,2,3,6,3,2,2,2,2,2,2,2
12,6,6,6,2,4,1,1,1,6,6,3,6,2,3,4,8,2,2,8,2,3,1,3,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,3,3,-1,-1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,-1,2,1,3,5,4,5,2,1,4,5,5,4,2,1,4,5,5,4,2
14,1,1,3,2,2,1,3,1,6,5,1,4,4,3,4,8,1,1,8,8,2,2,2,3,3,1,2,2,2,3,3,1,2,1,1,2,3,1,2
15,1,3,3,-1,2,1,4,1,6,6,3,6,4,6,6,1,1,1,1,1,2,4,6,5,6,2,1,1,2,3,3,1,1,1,4,1,4,1,1
16,1,1,6,3,3,1,2,1,1,4,4,5,3,3,5,1,1,1,1,1,1,1,6,5,6,5,4,1,6,4,6,4,2,1,3,2,6,3,2
17,2,5,5,2,2,1,1,1,1,3,3,3,1,1,6,1,1,1,1,1,2,4,4,2,6,2,2,4,4,6,6,-1,2,5,5,6,6,1,2
18,6,2,3,3,3,1,6,1,6,1,1,1,6,6,6,1,1,1,1,1,1,2,2,2,6,3,1,2,2,6,6,4,2,2,2,6,6,2,1
19,1,1,6,3,1,1,1,1,5,5,2,4,4,6,6,2,1,2,2,2,2,2,4,6,6,5,2,1,1,6,5,2,1,1,1,6,1,1,1
20,2,2,2,2,2,1,1,1,3,6,4,5,4,5,6,1,1,2,1,1,2,2,3,5,6,1,1,1,2,4,3,1,1,2,2,3,6,1,1
21,2,4,4,1,2,1,1,1,4,5,3,6,6,6,6,2,2,2,2,1,3,5,5,5,5,5,3,4,4,2,5,2,3,5,5,3,5,1,3
22,1,1,5,-1,-1,1,2,1,3,4,3,6,3,5,4,2,2,2,1,1,1,1,3,6,6,1,3,1,3,6,6,1,3,1,2,6,6,1,2
23,1,1,1,2,1,-1,2,1,4,6,4,6,3,5,4,1,1,1,1,1,1,2,2,5,5,1,1,3,4,6,6,1,2,1,3,5,5,1,1
24,2,4,4,2,-1,1,5,1,5,4,3,3,5,5,6,1,1,2,8,8,2,2,3,5,5,2,4,2,3,4,4,1,3,4,4,5,5,2,4
25,1,1,1,3,3,1,1,1,1,3,1,3,5,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,2,2,3,1,2,1,3,1,3,6,2,5,3,5,5,2,2,2,2,1,2,1,2,6,6,3,2,1,2,2,6,1,1,1,1,1,1,1,1
