,q13a,q14a,q14b,q14c,q14d,q14e,q14f,q15a,q15b,q15c,q15d,q16a,q16b
0,5,8,8,8,8,8,8,-1,-1,1,-1,-1,6
1,4,4,5,8,5,5,4,4,1,5,8,2,3
2,4,2,5,8,5,4,5,2,5,6,15,2,5
3,5,8,8,8,8,8,8,3,2,5,99,1,6
4,6,2,4,4,5,5,5,4,5,4,13,2,6
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,5,5,4,4,1,1,2,4,4,4,16,3,5
7,6,2,4,8,4,1,2,1,1,4,15,2,6
8,5,2,5,4,2,1,4,4,4,5,8,2,6
9,6,3,5,8,4,8,1,5,1,3,14,4,2
10,6,4,5,5,5,-1,5,2,5,5,19,3,6
11,4,5,5,5,5,5,5,6,1,1,7,3,4
12,5,1,3,1,5,1,1,8,1,4,18,1,6
13,6,2,2,1,2,2,8,6,1,1,13,1,6
14,5,3,5,8,5,3,3,4,4,5,16,1,6
15,5,4,5,2,4,5,5,4,2,4,19,2,5
16,6,5,3,1,2,2,3,6,3,5,32,3,5
17,4,2,5,1,5,1,5,4,5,3,13,2,6
18,6,4,5,1,3,2,5,-1,1,2,15,4,6
19,5,3,5,1,5,5,5,1,2,5,2,5,1
20,6,2,4,1,4,1,4,3,6,6,13,2,5
21,5,5,5,3,5,3,5,5,3,4,22,3,6
22,5,8,8,8,8,8,8,-1,1,1,-1,1,6
23,5,1,2,8,8,2,2,8,5,6,27,2,6
24,6,5,5,1,2,3,4,6,3,5,15,2,3
25,6,8,8,8,8,8,8,-1,-1,-1,99,-1,6
26,6,2,4,1,2,1,3,2,3,5,13,5,5
27,3,8,8,8,8,8,8,6,1,1,99,2,5
28,1,2,2,2,2,1,1,6,4,4,-1,2,2
29,2,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1
30,6,2,5,1,5,8,5,1,5,6,18,1,6
31,6,5,5,1,5,5,5,5,1,2,18,4,6
32,4,3,4,2,4,3,5,5,5,4,20,1,5
33,6,5,5,5,5,5,5,1,1,6,14,2,1
34,6,8,8,8,8,8,8,6,1,4,12,1,6
35,6,5,5,5,5,5,5,3,1,1,15,4,4
36,6,5,5,2,5,5,4,6,4,1,10,3,1
37,5,4,5,1,1,1,1,4,1,4,9,2,6
38,6,5,5,5,5,5,5,5,2,3,-1,3,6
39,6,2,2,1,1,1,2,3,1,3,17,2,2
40,6,8,8,8,8,8,8,-1,1,1,-1,4,6
41,6,4,4,8,8,2,2,1,1,1,99,1,2
42,6,5,5,1,1,2,5,6,4,2,14,1,6
43,6,5,5,1,1,4,3,6,4,3,6,3,6
44,6,5,5,5,2,3,4,6,2,2,17,3,3
45,5,2,2,1,2,1,1,2,1,4,35,3,2
46,6,4,5,8,5,5,5,3,3,5,12,2,6
47,5,8,8,8,8,8,-1,-1,6,5,9,4,6
48,4,8,8,8,8,8,8,4,-1,-1,-1,-1,-1
49,6,1,4,2,8,1,3,1,5,4,14,4,6
50,6,2,5,8,5,3,5,8,4,5,6,3,6
51,6,5,5,5,5,5,5,6,1,2,16,4,6
52,5,2,4,1,4,1,3,1,1,6,17,2,6
54,6,5,5,5,5,5,5,4,1,1,18,2,6
55,6,5,5,3,5,3,5,6,6,5,18,5,1
56,6,4,4,1,4,1,4,3,1,4,16,1,1
57,3,8,8,8,8,8,8,8,3,1,-1,3,6
58,-1,-1,-1,-1,-1,-1,-1,6,1,1,99,-1,6
59,6,4,5,2,5,4,5,6,1,1,19,2,5
60,4,4,5,5,4,2,5,6,1,1,40,2,2
61,6,5,5,5,5,5,5,6,1,3,10,4,6
62,6,2,5,2,5,3,5,4,1,1,13,2,6
63,6,4,5,2,2,2,4,5,1,4,19,3,6
64,4,2,4,2,1,1,4,3,1,4,30,2,5
65,3,5,5,5,5,5,5,6,6,1,19,1,1
66,6,4,5,-1,5,-1,5,6,1,1,1,3,6
67,2,2,2,2,1,2,1,6,1,1,20,2,2
