,q11a,q11b,q11c,q11d,q11e,q12a,q12b,q12c,q12d
0,4,4,2,4,4,8,7,4,3
1,1,1,1,1,1,8,5,4,2
2,1,1,1,1,1,8,6,4,4
3,2,1,2,3,2,8,8,4,4
4,3,3,3,3,4,8,8,3,2
5,1,2,2,1,1,8,8,-1,2
6,2,2,3,3,2,1,6,2,7
7,1,1,1,4,4,8,3,4,3
8,4,4,4,4,4,4,8,7,5
9,2,3,2,3,2,8,8,4,4
10,4,4,2,4,4,8,8,2,4
11,4,4,3,4,4,8,8,6,6
12,3,3,3,3,3,8,8,4,7
13,1,1,1,1,1,8,8,7,4
14,2,2,2,2,2,8,8,4,4
15,1,3,1,1,1,8,7,1,4
16,3,3,2,3,3,8,8,4,4
17,1,1,1,1,1,8,5,5,2
18,2,3,3,3,3,8,7,4,2
19,1,2,1,1,1,8,8,5,1
20,1,1,1,2,2,8,3,2,2
21,3,3,2,3,3,8,8,4,5
22,1,3,1,3,3,8,8,4,2
23,1,1,1,3,3,8,6,6,1
24,1,1,1,1,1,5,5,3,1
25,3,3,3,3,3,8,8,6,4
26,2,3,3,3,1,8,8,4,-1
27,1,1,1,1,1,8,7,4,1
28,1,1,1,1,1,8,8,4,1
29,1,2,2,2,3,8,8,4,3
30,2,3,3,3,3,8,8,4,5
31,3,3,2,2,2,1,7,1,-1
32,3,3,3,3,3,8,8,4,4
33,4,4,3,4,3,1,8,3,4
34,4,4,2,4,4,8,8,4,1
35,4,4,4,4,4,2,2,5,7
36,-1,-1,-1,-1,-1,8,8,4,4
37,1,1,1,1,1,1,1,2,1
38,4,4,4,3,4,1,1,5,8
39,2,2,2,2,2,1,1,4,4
40,2,3,2,1,2,8,7,4,2
41,2,3,2,2,3,1,1,7,3
42,1,1,1,3,1,1,6,1,1
43,2,2,2,3,3,1,1,2,4
44,2,2,2,2,2,8,8,4,1
45,3,3,2,3,3,1,2,2,4
46,2,4,2,3,3,1,8,3,3
47,2,4,1,2,3,7,7,1,5
48,3,-1,4,4,3,1,1,3,7
49,3,4,4,3,4,7,7,3,6
50,1,1,1,1,1,8,8,4,1
51,1,1,1,1,1,5,5,4,1
52,2,2,2,3,2,1,7,1,1
54,3,1,1,3,3,1,8,7,1
55,4,2,4,4,3,1,1,4,5
56,1,1,1,1,1,1,5,1,1
57,2,2,3,3,1,1,1,4,3
58,4,4,4,4,4,1,-1,4,6
59,2,3,2,2,3,1,8,4,3
60,3,4,2,4,4,2,2,6,6
61,2,2,2,2,2,1,1,7,2
62,2,3,3,3,3,8,8,2,3
63,3,4,3,4,3,1,8,1,7
64,4,3,2,2,3,2,2,2,3
65,4,4,4,4,4,1,8,1,2
66,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,3,3,3,3,3,1,1,2,1
68,3,2,1,2,-1,-1,8,4,2
69,3,2,3,3,3,8,8,5,6
70,4,4,3,3,3,1,1,2,7
71,4,3,3,3,4,1,1,1,8
72,3,3,2,3,3,1,8,4,3
73,1,1,1,1,1,-1,5,4,5
74,3,3,2,3,2,1,8,6,1
75,3,2,1,2,3,2,2,1,3
76,4,4,2,3,4,1,7,7,1
77,3,3,2,3,2,1,8,5,3
78,4,4,4,4,4,8,8,6,8
79,1,1,1,3,1,7,6,3,7
80,3,3,3,3,3,1,1,4,6
81,1,1,1,1,1,1,1,1,2
82,3,2,2,2,3,6,8,5,3
83,4,3,3,3,3,1,8,7,1
84,1,1,1,1,1,1,6,1,1
85,2,4,3,3,3,1,1,1,4
86,2,3,2,3,2,1,1,4,5
87,1,1,1,1,1,1,6,2,2
88,2,3,3,4,3,1,1,1,8
89,2,3,3,3,3,1,8,1,6
